63.0586678,11.5373437,1828975,#AAAAAA
63.0582983,11.5275426,1828973,#AAAAAA
63.0580267,11.5208287,1828972,#AAAAAA
63.0527605,11.490712,1828970,#AAAAAA
63.0533285,11.4779917,1828968,#AAAAAA
63.0549448,11.4714882,4530064,#AAAAAA
63.0555136,11.4686221,4756332,#AAAAAA
63.0564108,11.465312,4756330,#AAAAAA
63.0584638,11.4580825,2013122,#AAAAAA
63.0590738,11.4549494,5780258,#AAAAAA
63.0597865,11.4510694,5780256,#AAAAAA
63.0602255,11.4489547,4756534,#AAAAAA
63.0633406,11.4455714,4756337,#AAAAAA
63.0671055,11.4414745,4756335,#AAAAAA
63.069694,11.4385752,1828153,#AAAAAA
63.0704882,11.4360236,1415373,#AAAAAA
63.0753758,11.4318427,1415371,#AAAAAA
63.0798092,11.4269581,1415369,#AAAAAA
63.0980754,11.4065199,1415367,#AAAAAA
63.1052795,11.3816006,1415365,#AAAAAA
63.1067416,11.3701727,1415363,#AAAAAA
63.1125905,11.3554158,5617375,#AAAAAA
63.1125004,11.3186429,1415321,#AAAAAA
63.1111023,11.3080407,1591331,#AAAAAA
63.1098393,11.298781,2497827,#AAAAAA
63.1093757,11.2952893,5617378,#AAAAAA
63.1127127,11.2622201,5617382,#AAAAAA
63.1191155,11.2607256,5617381,#AAAAAA
63.1481925,11.2480484,5617385,#AAAAAA
63.1529673,11.2358319,2383382,#AAAAAA
63.1545766,11.2297852,5617383,#AAAAAA
63.1631292,11.2282829,2383386,#AAAAAA
63.165778,11.2309235,1415319,#AAAAAA
63.1726055,11.2141497,1415317,#AAAAAA
63.1827349,11.1938275,2049313,#AAAAAA
63.1838486,11.1898158,4529739,#AAAAAA
63.1864092,11.1866928,5617416,#AAAAAA
63.1870719,11.1862919,5617419,#AAAAAA
63.1896092,11.1840973,2383383,#AAAAAA
63.1901145,11.1833383,4529698,#AAAAAA
63.1902709,11.1772814,4529696,#AAAAAA
63.1901916,11.1628822,2013274,#AAAAAA
63.1931886,11.1593091,5617421,#AAAAAA
63.1962278,11.1531522,4529710,#AAAAAA
63.1967747,11.1519978,4529708,#AAAAAA
63.1978056,11.1498152,4529706,#AAAAAA
63.1997163,11.1457916,4529704,#AAAAAA
63.2011902,11.1407915,4529702,#AAAAAA
63.2015634,11.1372359,4529700,#AAAAAA
63.2018208,11.1347677,2049324,#AAAAAA
63.2030346,11.1394522,2049298,#AAAAAA
63.204652,11.1392499,2049327,#AAAAAA
63.2070113,11.1356901,2049329,#AAAAAA
63.2086008,11.1319182,2049331,#AAAAAA
63.2096854,11.1305484,2049333,#AAAAAA
63.2133303,11.1312281,2049291,#AAAAAA
63.2145575,11.1265593,5617441,#AAAAAA
63.2107055,11.1243937,5617442,#AAAAAA
63.2075056,11.122245,5617444,#AAAAAA
63.2077551,11.1182544,5617446,#AAAAAA
63.2082669,11.1142499,5617448,#AAAAAA
63.2084731,11.1105678,5617450,#AAAAAA
63.2084897,11.1102542,5617452,#AAAAAA
